"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13652_51_UN","13652_51","UN",0,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",NA,NA,NA,NA,659857,146749,0,NA,NA
"13652_51_UE","13652_51","UE",0,"Boreal White Spruce-Fir-Hardwood Forest - Coastal",NA,NA,NA,25798,659857,146749,0,5737,4
"13660_50_A","13660_50","A",3,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Early1:ALL","Early1","ALL",32,1985644,441596,13248,7,0
"13660_50_B","13660_50","B",16,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Early2:CLS","Early2","CLS",86,1985644,441596,70655,19,0
"13660_50_C","13660_50","C",39,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Mid1:CLS","Mid1","CLS",41,1985644,441596,172223,9,0
"13660_50_D","13660_50","D",42,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Late1:CLS","Late1","CLS",40806,1985644,441596,185470,9075,2
"13660_50_E","13660_50","E",NA,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,NA,1985644,441596,NA,NA,NA
"13660_50_Agriculture","13660_50","Agriculture",0,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,8128,1985644,441596,0,1808,0
"13660_50_Urban","13660_50","Urban",0,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,5281,1985644,441596,0,1174,0
"13660_50_Water","13660_50","Water",0,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,NA,1985644,441596,0,NA,NA
"13660_50_UN","13660_50","UN",0,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,NA,1985644,441596,0,NA,NA
"13660_50_UE","13660_50","UE",0,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,3769,1985644,441596,0,838,0
"13660_51_63_64_65_66_A","13660_51_63_64_65_66","A",3,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Early1:ALL","Early1","ALL",7760,1985644,441596,13248,1726,0
"13660_51_63_64_65_66_B","13660_51_63_64_65_66","B",16,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Early2:CLS","Early2","CLS",12618,1985644,441596,70655,2806,1
"13660_51_63_64_65_66_C","13660_51_63_64_65_66","C",39,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Mid1:CLS","Mid1","CLS",17836,1985644,441596,172223,3967,1
"13660_51_63_64_65_66_D","13660_51_63_64_65_66","D",42,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Late1:CLS","Late1","CLS",1603286,1985644,441596,185470,356562,81
"13660_51_63_64_65_66_E","13660_51_63_64_65_66","E",NA,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,NA,1985644,441596,NA,NA,NA
"13660_51_63_64_65_66_Agriculture","13660_51_63_64_65_66","Agriculture",0,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,73938,1985644,441596,0,16443,4
"13660_51_63_64_65_66_Urban","13660_51_63_64_65_66","Urban",0,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,155378,1985644,441596,0,34555,8
"13660_51_63_64_65_66_Water","13660_51_63_64_65_66","Water",0,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,NA,1985644,441596,0,NA,NA
"13660_51_63_64_65_66_UN","13660_51_63_64_65_66","UN",0,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,NA,1985644,441596,0,NA,NA
"13660_51_63_64_65_66_UE","13660_51_63_64_65_66","UE",0,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest",NA,NA,NA,56685,1985644,441596,0,12606,3
"13940_50_51_A","13940_50_51","A",7,"North-Central Interior Oak Savanna","Early1:OPN","Early1","OPN",NA,31,7,0,NA,NA
"13940_50_51_B","13940_50_51","B",16,"North-Central Interior Oak Savanna","Mid1:OPN","Mid1","OPN",NA,31,7,1,NA,NA
"13940_50_51_C","13940_50_51","C",64,"North-Central Interior Oak Savanna","Late1:OPN","Late1","OPN",NA,31,7,4,NA,NA
"13940_50_51_D","13940_50_51","D",12,"North-Central Interior Oak Savanna","Late2:OPN","Late2","OPN",NA,31,7,1,NA,NA
"13940_50_51_E","13940_50_51","E",1,"North-Central Interior Oak Savanna","Late3:CLS","Late3","CLS",NA,31,7,0,NA,NA
"13940_50_51_Agriculture","13940_50_51","Agriculture",0,"North-Central Interior Oak Savanna",NA,NA,NA,NA,31,7,0,NA,NA
"13940_50_51_Urban","13940_50_51","Urban",0,"North-Central Interior Oak Savanna",NA,NA,NA,31,31,7,0,7,100
"13940_50_51_Water","13940_50_51","Water",0,"North-Central Interior Oak Savanna",NA,NA,NA,NA,31,7,0,NA,NA
"13940_50_51_UN","13940_50_51","UN",0,"North-Central Interior Oak Savanna",NA,NA,NA,NA,31,7,0,NA,NA
"13940_50_51_UE","13940_50_51","UE",0,"North-Central Interior Oak Savanna",NA,NA,NA,NA,31,7,0,NA,NA
"14071_41_50_51_A","14071_41_50_51","A",9,"Laurentian Pine-Oak Barrens","Early1:ALL","Early1","ALL",108,183645,40842,3676,24,0
"14071_41_50_51_B","14071_41_50_51","B",1,"Laurentian Pine-Oak Barrens","Mid1:CLS","Mid1","CLS",8,183645,40842,408,2,0
"14071_41_50_51_C","14071_41_50_51","C",26,"Laurentian Pine-Oak Barrens","Mid2:OPN","Mid2","OPN",9654,183645,40842,10619,2147,5
"14071_41_50_51_D","14071_41_50_51","D",62,"Laurentian Pine-Oak Barrens","Late1:OPN","Late1","OPN",78443,183645,40842,25322,17445,43
"14071_41_50_51_E","14071_41_50_51","E",2,"Laurentian Pine-Oak Barrens","Late2:CLS","Late2","CLS",54803,183645,40842,817,12188,30
"14071_41_50_51_Agriculture","14071_41_50_51","Agriculture",0,"Laurentian Pine-Oak Barrens",NA,NA,NA,2145,183645,40842,0,477,1
"14071_41_50_51_Urban","14071_41_50_51","Urban",0,"Laurentian Pine-Oak Barrens",NA,NA,NA,20428,183645,40842,0,4543,11
"14071_41_50_51_Water","14071_41_50_51","Water",0,"Laurentian Pine-Oak Barrens",NA,NA,NA,NA,183645,40842,0,NA,NA
"14071_41_50_51_UN","14071_41_50_51","UN",0,"Laurentian Pine-Oak Barrens",NA,NA,NA,1811,183645,40842,0,403,1
"14071_41_50_51_UE","14071_41_50_51","UE",0,"Laurentian Pine-Oak Barrens",NA,NA,NA,16245,183645,40842,0,3613,9
"14072_41_50_51_A","14072_41_50_51","A",14,"Laurentian Pine-Oak Barrens - Jack Pine","Early1:ALL","Early1","ALL",558,208349,46336,6487,124,0
"14072_41_50_51_B","14072_41_50_51","B",23,"Laurentian Pine-Oak Barrens - Jack Pine","Mid1:OPN","Mid1","OPN",316,208349,46336,10657,70,0
"14072_41_50_51_C","14072_41_50_51","C",49,"Laurentian Pine-Oak Barrens - Jack Pine","Late1:OPN","Late1","OPN",155968,208349,46336,22704,34686,75
"14072_41_50_51_D","14072_41_50_51","D",14,"Laurentian Pine-Oak Barrens - Jack Pine","Late1:CLS","Late1","CLS",10,208349,46336,6487,2,0
"14072_41_50_51_E","14072_41_50_51","E",NA,"Laurentian Pine-Oak Barrens - Jack Pine",NA,NA,NA,NA,208349,46336,NA,NA,NA
"14072_41_50_51_Agriculture","14072_41_50_51","Agriculture",0,"Laurentian Pine-Oak Barrens - Jack Pine",NA,NA,NA,7951,208349,46336,0,1768,4
"14072_41_50_51_Urban","14072_41_50_51","Urban",0,"Laurentian Pine-Oak Barrens - Jack Pine",NA,NA,NA,25394,208349,46336,0,5647,12
"14072_41_50_51_Water","14072_41_50_51","Water",0,"Laurentian Pine-Oak Barrens - Jack Pine",NA,NA,NA,NA,208349,46336,0,NA,NA
"14072_41_50_51_UN","14072_41_50_51","UN",0,"Laurentian Pine-Oak Barrens - Jack Pine",NA,NA,NA,NA,208349,46336,0,NA,NA
"14072_41_50_51_UE","14072_41_50_51","UE",0,"Laurentian Pine-Oak Barrens - Jack Pine",NA,NA,NA,18152,208349,46336,0,4037,9
"14120_39_40_41_42_43_50_51_A","14120_39_40_41_42_43_50_51","A",80,"North-Central Interior Sand and Gravel Tallgrass Prairie","Early1:OPN","Early1","OPN",NA,262,58,47,NA,NA
"14120_39_40_41_42_43_50_51_B","14120_39_40_41_42_43_50_51","B",16,"North-Central Interior Sand and Gravel Tallgrass Prairie","Mid1:ALL","Mid1","ALL",NA,262,58,9,NA,NA
"14120_39_40_41_42_43_50_51_C","14120_39_40_41_42_43_50_51","C",4,"North-Central Interior Sand and Gravel Tallgrass Prairie","Mid2:ALL","Mid2","ALL",NA,262,58,2,NA,NA
"14120_39_40_41_42_43_50_51_D","14120_39_40_41_42_43_50_51","D",NA,"North-Central Interior Sand and Gravel Tallgrass Prairie",NA,NA,NA,NA,262,58,NA,NA,NA
"14120_39_40_41_42_43_50_51_E","14120_39_40_41_42_43_50_51","E",NA,"North-Central Interior Sand and Gravel Tallgrass Prairie",NA,NA,NA,NA,262,58,NA,NA,NA
"14120_39_40_41_42_43_50_51_Agriculture","14120_39_40_41_42_43_50_51","Agriculture",0,"North-Central Interior Sand and Gravel Tallgrass Prairie",NA,NA,NA,NA,262,58,0,NA,NA
