"join_field","model_code","ref_label","ref_percent","scls_label","state_class_id","age_category","canopy_category","bps_model","bps_name","label","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13660_50_Water","13660_50","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13660_50_UN","13660_50","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13660_50_UE","13660_50","UE",0,NA,NA,NA,NA,"13660_50","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","UE",3769,1982196,440829,0,838,0
"13660_51_63_64_65_66_A","13660_51_63_64_65_66","A",3,"A","Early1:ALL","Early1","ALL","13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","A",7733,1982196,440829,13225,1720,0
"13660_51_63_64_65_66_B","13660_51_63_64_65_66","B",16,"B","Early2:CLS","Early2","CLS","13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","B",12607,1982196,440829,70533,2804,1
"13660_51_63_64_65_66_C","13660_51_63_64_65_66","C",39,"C","Mid1:CLS","Mid1","CLS","13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","C",17789,1982196,440829,171924,3956,1
"13660_51_63_64_65_66_D","13660_51_63_64_65_66","D",42,"D","Late1:CLS","Late1","CLS","13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","D",1601281,1982196,440829,185148,356116,81
"13660_51_63_64_65_66_E","13660_51_63_64_65_66","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"13660_51_63_64_65_66_Agriculture","13660_51_63_64_65_66","Agriculture",0,NA,NA,NA,NA,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Agriculture",73916,1982196,440829,0,16439,4
"13660_51_63_64_65_66_Urban","13660_51_63_64_65_66","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13660_51_63_64_65_66_Water","13660_51_63_64_65_66","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13660_51_63_64_65_66_UN","13660_51_63_64_65_66","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13660_51_63_64_65_66_UE","13660_51_63_64_65_66","UE",0,NA,NA,NA,NA,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","UE",56627,1982196,440829,0,12594,3
"13940_50_51_A","13940_50_51","A",7,"A","Early1:OPN","Early1","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"13940_50_51_B","13940_50_51","B",16,"B","Mid1:OPN","Mid1","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"13940_50_51_C","13940_50_51","C",64,"C","Late1:OPN","Late1","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"13940_50_51_D","13940_50_51","D",12,"D","Late2:OPN","Late2","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"13940_50_51_E","13940_50_51","E",1,"E","Late3:CLS","Late3","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"13940_50_51_Agriculture","13940_50_51","Agriculture",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13940_50_51_Urban","13940_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13940_50_51_Water","13940_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13940_50_51_UN","13940_50_51","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13940_50_51_UE","13940_50_51","UE",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14071_41_50_51_A","14071_41_50_51","A",9,"A","Early1:ALL","Early1","ALL","14071_41_50_51","Laurentian Pine-Oak Barrens","A",108,183645,40842,3676,24,0
"14071_41_50_51_B","14071_41_50_51","B",1,"B","Mid1:CLS","Mid1","CLS","14071_41_50_51","Laurentian Pine-Oak Barrens","B",8,183645,40842,408,2,0
"14071_41_50_51_C","14071_41_50_51","C",26,"C","Mid2:OPN","Mid2","OPN","14071_41_50_51","Laurentian Pine-Oak Barrens","C",9654,183645,40842,10619,2147,5
"14071_41_50_51_D","14071_41_50_51","D",62,"D","Late1:OPN","Late1","OPN","14071_41_50_51","Laurentian Pine-Oak Barrens","D",78443,183645,40842,25322,17445,43
"14071_41_50_51_E","14071_41_50_51","E",2,"E","Late2:CLS","Late2","CLS","14071_41_50_51","Laurentian Pine-Oak Barrens","E",54803,183645,40842,817,12188,30
"14071_41_50_51_Agriculture","14071_41_50_51","Agriculture",0,NA,NA,NA,NA,"14071_41_50_51","Laurentian Pine-Oak Barrens","Agriculture",2145,183645,40842,0,477,1
"14071_41_50_51_Urban","14071_41_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14071_41_50_51_Water","14071_41_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14071_41_50_51_UN","14071_41_50_51","UN",0,NA,NA,NA,NA,"14071_41_50_51","Laurentian Pine-Oak Barrens","UN",1811,183645,40842,0,403,1
"14071_41_50_51_UE","14071_41_50_51","UE",0,NA,NA,NA,NA,"14071_41_50_51","Laurentian Pine-Oak Barrens","UE",16245,183645,40842,0,3613,9
"14072_41_50_51_A","14072_41_50_51","A",14,"A","Early1:ALL","Early1","ALL","14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","A",558,208349,46336,6487,124,0
"14072_41_50_51_B","14072_41_50_51","B",23,"B","Mid1:OPN","Mid1","OPN","14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","B",316,208349,46336,10657,70,0
"14072_41_50_51_C","14072_41_50_51","C",49,"C","Late1:OPN","Late1","OPN","14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","C",155968,208349,46336,22704,34686,75
"14072_41_50_51_D","14072_41_50_51","D",14,"D","Late1:CLS","Late1","CLS","14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","D",10,208349,46336,6487,2,0
"14072_41_50_51_E","14072_41_50_51","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14072_41_50_51_Agriculture","14072_41_50_51","Agriculture",0,NA,NA,NA,NA,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Agriculture",7951,208349,46336,0,1768,4
"14072_41_50_51_Urban","14072_41_50_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14072_41_50_51_Water","14072_41_50_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14072_41_50_51_UN","14072_41_50_51","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"14072_41_50_51_UE","14072_41_50_51","UE",0,NA,NA,NA,NA,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","UE",18152,208349,46336,0,4037,9
"14120_39_40_41_42_43_50_51_A","14120_39_40_41_42_43_50_51","A",80,"A","Early1:OPN","Early1","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"14120_39_40_41_42_43_50_51_B","14120_39_40_41_42_43_50_51","B",16,"B","Mid1:ALL","Mid1","ALL",NA,NA,NA,NA,0,0,0,NA,NA
"14120_39_40_41_42_43_50_51_C","14120_39_40_41_42_43_50_51","C",4,"C","Mid2:ALL","Mid2","ALL",NA,NA,NA,NA,0,0,0,NA,NA
"14120_39_40_41_42_43_50_51_D","14120_39_40_41_42_43_50_51","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14120_39_40_41_42_43_50_51_E","14120_39_40_41_42_43_50_51","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"14120_39_40_41_42_43_50_51_Agriculture","14120_39_40_41_42_43_50_51","Agriculture",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
